zip,county_name,2020_mean_fmr,2019_mean_fmr,2018_mean_fmr,2017_mean_fmr,2016_mean_fmr,2015_mean_fmr,2014_mean_fmr,2013_mean_fmr,2012_mean_fmr,2011_mean_fmr
34102,Collier County FL,1449,1420.2,1320.4,1314.2,1146,1072.2,1089.6,1124,1091,1220
34103,Collier County FL,1449,1420.2,1320.4,1314.2,1146,1072.2,1089.6,1124,1091,1220
34104,Collier County FL,1449,1420.2,1320.4,1314.2,1146,1072.2,1089.6,1124,1091,1220
34105,Collier County FL,1449,1420.2,1320.4,1314.2,1146,1072.2,1089.6,1124,1091,1220
34108,Collier County FL,1449,1420.2,1320.4,1314.2,1146,1072.2,1089.6,1124,1091,1220
34109,Collier County FL,1449,1420.2,1320.4,1314.2,1146,1072.2,1089.6,1124,1091,1220
34110,Collier County FL,1449,1420.2,1320.4,1314.2,1146,1072.2,1089.6,1124,1091,1220
34112,Collier County FL,1449,1420.2,1320.4,1314.2,1146,1072.2,1089.6,1124,1091,1220
34113,Collier County FL,1449,1420.2,1320.4,1314.2,1146,1072.2,1089.6,1124,1091,1220
34114,Collier County FL,1449,1420.2,1320.4,1314.2,1146,1072.2,1089.6,1124,1091,1220
34116,Collier County FL,1449,1420.2,1320.4,1314.2,1146,1072.2,1089.6,1124,1091,1220
34117,Collier County FL,1449,1420.2,1320.4,1314.2,1146,1072.2,1089.6,1124,1091,1220
34119,Collier County FL,1449,1420.2,1320.4,1314.2,1146,1072.2,1089.6,1124,1091,1220
34120,Collier County FL,1449,1420.2,1320.4,1314.2,1146,1072.2,1089.6,1124,1091,1220
34134,Lee County FL,1259,1110.2,1017,974.6,954.4,954.6,951.4,975,981.8,1085.4
34135,Lee County FL,1259,1110.2,1017,974.6,954.4,954.6,951.4,975,981.8,1085.4
34201,Manatee County FL,1318,1292.6,1186.4,1178,1084.8,1036.4,1091.4,1108.8,1048.8,1171
34202,Manatee County FL,1318,1292.6,1186.4,1178,1084.8,1036.4,1091.4,1108.8,1048.8,1171
34203,Manatee County FL,1318,1292.6,1186.4,1178,1084.8,1036.4,1091.4,1108.8,1048.8,1171
34205,Manatee County FL,1318,1292.6,1186.4,1178,1084.8,1036.4,1091.4,1108.8,1048.8,1171
34207,Manatee County FL,1318,1292.6,1186.4,1178,1084.8,1036.4,1091.4,1108.8,1048.8,1171
34208,Manatee County FL,1318,1292.6,1186.4,1178,1084.8,1036.4,1091.4,1108.8,1048.8,1171
34209,Manatee County FL,1318,1292.6,1186.4,1178,1084.8,1036.4,1091.4,1108.8,1048.8,1171
34210,Manatee County FL,1318,1292.6,1186.4,1178,1084.8,1036.4,1091.4,1108.8,1048.8,1171
34211,Manatee County FL,1318,1292.6,1186.4,1178,1084.8,1036.4,1091.4,1108.8,1048.8,1171
34212,Manatee County FL,1318,1292.6,1186.4,1178,1084.8,1036.4,1091.4,1108.8,1048.8,1171
34216,Manatee County FL,1318,1292.6,1186.4,1178,1084.8,1036.4,1091.4,1108.8,1048.8,1171
34217,Manatee County FL,1318,1292.6,1186.4,1178,1084.8,1036.4,1091.4,1108.8,1048.8,1171
34219,Manatee County FL,1318,1292.6,1186.4,1178,1084.8,1036.4,1091.4,1108.8,1048.8,1171
